Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
6.28,1,1,Zsivoczky-Farkas Györgyi,85,BHSE,CE,"Portland, OR (USA)",2016.3.18
6.22,-,2,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2016.2.2
6.14,-,3,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Budapest (HUN),2016.2.07
6.1,2,4,Schmelcz Vivien,92,TFSE,F,Budapest (HUN),2016.2.2
6.05,3,5,Czuth Réka,94,AC Bonyhád,F,"Geneva, OH (USA)",2016.2.26
6.02,-,6,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.2.05
5.99,4,7,Lesti Diana,98,KARC,F,Budapest (HUN),2016.2.2
5.98,-,8,Czuth Réka,94,AC Bonyhád,F,"Pittsburgh, PA (USA)",2016.2.12
5.98,-,8,Schmelcz Vivien,92,KARC,F,Budapest (HUN),2016.2.14
5.96,-,10,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.1.15
5.96,-,10,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.2.19
5.95,-,12,Lesti Diana,98,KARC,F,Budapest (HUN),2016.2.28
5.9,5,13,Bajnok Eszter,97,Favorit AC,F,Budapest (HUN),2016.2.14
5.86,-,14,Lesti Diana,98,KARC,F,Budapest (HUN),2016.2.06
5.86,6,14,Endrész Klaudia,1,ARAK,F2,Budapest (HUN),2016.2.07
5.85,-,16,Bajnok Eszter,97,Favorit AC,F,Budapest (HUN),2016.2.06
5.85,7,16,Renner Luca,98,MATE - GEAC,CE,Budapest (HUN),2016.2.13
5.84,-,18,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2016.1.23
5.81,-,19,Lesti Diana,98,KARC,F,Budapest (HUN),2016.2.14
5.8,8,20,Bánhidi-Farkas Petra,99,UTE,F,Budapest (HUN),2016.1.3
5.8,-,20,Bánhidi-Farkas Petra,99,UTE,F,Budapest (HUN),2016.2.2
5.77,-,22,Lesti Diana,98,KARC,F,Budapest (HUN),2016.1.3
5.77,-,22,Czuth Réka,94,AC Bonyhád,F,"Albuquerque, NM (USA)",2016.1.3
5.76,-,24,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2016.2.28
5.73,-,25,Endrész Klaudia,1,ARAK,F,Budapest (HUN),2016.1.3
5.72,-,26,Bánhidi-Farkas Petra,99,UTE,F,Budapest (HUN),2016.2.28
5.66,-,27,Endrész Klaudia,1,ARAK,F,Székesfehérvár (HUN),2016.1.23
5.66,9,27,Hajdú Lotti,98,Szolnoki MÁV-SE,F,Budapest (HUN),2016.2.14
5.66,-,27,Endrész Klaudia,1,ARAK,F,Budapest (HUN),2016.2.2
5.64,-,30,Renner Luca,98,MATE - GEAC,CE,Budapest (HUN),2016.2.07
5.63,10,31,Hódi Nóra,87,HÓDIÁK SE,F,Budapest (HUN),2016.2.14
5.61,11,32,Hoffer Krisztina,90,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
5.61,11,32,Csanádi Zsófia,96,TFSE,F,Budapest (HUN),2016.2.2
5.6,13,34,Bacsa Fanni,1,Miskolci Sportiskola,F2,Budapest (HUN),2016.2.07
5.59,-,35,Hajdú Lotti,98,Szolnoki MÁV-SE,F,Budapest (HUN),2016.2.28
5.56,-,36,Bacsa Fanni,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.23
5.56,-,36,Csanádi Zsófia,96,TFSE,F,Budapest (HUN),2016.2.06
5.56,-,36,Hódi Nóra,87,HÓDIÁK SE,F,Budapest (HUN),2016.2.06
5.53,-,39,Hajdú Lotti,98,Szolnoki SC-SI,F,Budapest (HUN),2016.1.3
5.5,14,40,Szabó Beatrix,95,MTK Budapest,F,Budapest (HUN),2016.2.2
5.5,14,40,Lipták Aliz,0,KSI SE,F,Budapest (HUN),2016.2.28
5.49,-,42,Szabó Beatrix,95,MTK Budapest,CE,Budapest (HUN),2016.2.07
5.48,16,43,Szabó Krisztina,95,Győri Atlétikai Club,F,"Birmingham, AL (USA)",2016.2.07
5.48,-,43,Hajdú Lotti,98,Szolnoki MÁV-SE,F,Budapest (HUN),2016.2.2
5.46,-,45,Szabó Beatrix,95,MTK Budapest,CE,Budapest (HUN),2016.2.13
5.46,17,45,Áts Viktória,1,TSC-Geotech,CE1,Budapest (HUN),2016.3.05
5.45,18,47,Mátó Sára,0,ARAK,F,Székesfehérvár (HUN),2016.1.23
5.43,19,48,Otterbein Laura,0,PSN - Pécsi Sportiskola,F,Budapest (HUN),2016.2.28
5.41,20,49,Szűcs Szabina,2,KARC,F2,Budapest (HUN),2016.2.07
5.4,-,50,Szűcs Szabina,2,KARC,F,Bonyhád (HUN),2016.1.27
5.4,21,50,Szabó Daniella,92,BHSE,F,"Pittsburgh, PA (USA)",2016.1.29
5.38,22,52,Ekler Luca,98,Haladás VSE,F,Zalaegerszeg (HUN),2016.2.13
5.36,23,53,Zádeczki Luca,0,Miskolci Sportiskola,F,Budapest (HUN),2016.2.28
5.35,24,54,Tabori Sabharwal Izabella,99,,F,"Lexington, KY (USA)",2016.2.2
5.34,-,55,Szabó Krisztina,95,Győri Atlétikai Club,F,Nashville (USA),2016.1.15
5.34,25,55,Varga Eszter,0,Haladás VSE,F,Zalaegerszeg (HUN),2016.2.13
5.34,-,55,Ekler Luca,98,Haladás VSE,F,Budapest (HUN),2016.2.28
5.32,26,58,Soltész Gréta,98,Ócsa SE,F,Budapest (HUN),2016.2.06
5.32,26,58,Soltész Hanna,0,Ócsa SE,F,Budapest (HUN),2016.2.14
5.31,28,60,Kónya Enikő,2,UTE,F2,Budapest (HUN),2016.2.07
5.3,-,61,Kónya Enikő,2,UTE,CE1,Budapest (HUN),2016.3.05
5.29,29,62,Nagy Alexandra,99,Szolnoki SC-SI,F,Budapest (HUN),2016.2.28
5.27,-,63,Lipták Aliz,0,KSI SE,F,Budapest (HUN),2016.1.3
5.27,30,63,Kátai Kamilla,1,Vasas,F2,Budapest (HUN),2016.2.07
5.27,-,63,Mátó Sára,0,ARAK,CE,Budapest (HUN),2016.2.13
5.27,-,63,Szűcs Szabina,2,KARC,CE1,Budapest (HUN),2016.3.05
5.26,31,67,Őry Boglárka,98,BHSE,F,Budapest (HUN),2016.1.3
5.26,31,67,Varga Nikolett,98,Haladás VSE,F,Budapest (HUN),2016.2.28
5.26,-,67,Varga Eszter,0,Haladás VSE,F,Budapest (HUN),2016.2.28
5.25,33,70,Ajkler Eszter,97,MATE - GEAC,CE,Budapest (HUN),2016.2.13
5.25,33,70,Lór Anna,99,KARC,F,Budapest (HUN),2016.2.28
5.24,-,72,Ajkler Eszter,97,MATE - GEAC,CE,Budapest (HUN),2016.2.07
5.24,-,72,Szabó Krisztina,95,Győri Atlétikai Club,F,"Birmingham, AL (USA)",2016.2.12
5.24,35,72,Kárpáti Enikő,1,PVSK,CE1,Budapest (HUN),2016.3.05
5.23,-,75,Lipták Aliz,0,KSI SE,F,Budapest (HUN),2016.2.14
5.23,36,75,Kusztor Kitti,97,Keszthely VDSE,F,Budapest (HUN),2016.2.28
5.22,-,77,Soltész Gréta,98,Ócsa SE,F,Budapest (HUN),2016.2.14
5.21,-,78,Soltész Gréta,98,Ócsa SE,F,Budapest (HUN),2016.2.28
5.2,-,79,Soltész Hanna,0,Ócsa SE,F,Budapest (HUN),2016.1.3
5.2,-,79,Soltész Hanna,0,Ócsa SE,F,Budapest (HUN),2016.2.06
5.18,-,81,Soltész Hanna,0,Ócsa SE,F,Dunakeszi (HUN),2016.1.17
5.17,-,82,Varga Nikolett,98,Haladás VSE,F,Zalaegerszeg (HUN),2016.2.13
5.17,37,82,Mórocz Boglárka,0,MAFC,CE,Budapest (HUN),2016.2.13
5.16,-,84,Áts Viktória,1,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
5.16,38,84,Kovács Kitti,0,DSC-SI,F,Budapest (HUN),2016.2.28
5.14,39,86,Balogh Csenge,1,NYSC,F2,Budapest (HUN),2016.2.07
5.12,40,87,Rácz Vivien,2,DSC-SI,F,Nyíregyháza (HUN),2016.1.17
5.12,40,87,Tóth Rebeka,99,UTE,CE,Budapest (HUN),2016.2.13
5.12,-,87,Soltész Hanna,0,Ócsa SE,F,Budapest (HUN),2016.2.28
5.1,42,90,Balázs Klaudia,97,FTC,F,Budapest (HUN),2016.2.28
5.1,42,90,Fodor Nikolett,1,III. kerület TVE,CE1,Budapest (HUN),2016.3.05
5.09,44,92,Nagy Boglárka,0,NYSC,F,Nyíregyháza (HUN),2016.1.17
5.09,-,92,Mórocz Boglárka,0,MAFC,F,Budapest (HUN),2016.1.24
5.08,45,94,Huszár Kitti,93,ARAK,F,Székesfehérvár (HUN),2016.1.23
5.08,45,94,Kis Zsófia,98,KSI SE,F,Budapest (HUN),2016.1.3
5.08,45,94,Fekete Fanni,0,Reménység Vác,F,Budapest (HUN),2016.1.3
5.07,48,97,Szabó Laura,2,Keszthely VDSE,F,Zalaegerszeg (HUN),2016.2.13
5.07,48,97,Csenki Tamara,1,ARAK,CE1,Budapest (HUN),2016.3.05
5.05,50,99,Hócza Hanna,0,Egri Sportiskola SE,F,Budapest (HUN),2016.2.28
5.04,51,100,Gődény Pálma,0,FTC,F,Budapest (HUN),2016.2.28
5.04,51,100,Hornácsik Gréta,2,MTK Budapest,CE2,Budapest (HUN),2016.3.05
5.03,53,102,Csincsi Barbara,0,ARAK,F,Budapest (HUN),2016.1.3
5.03,-,102,Rácz Vivien,2,DSC-SI,F2,Budapest (HUN),2016.2.07
5.03,53,102,Radócz Viktória,2,TSC-Geotech,CE2,Budapest (HUN),2016.3.05
5.02,55,105,Széki Petra,99,NYSC,F,Nyíregyháza (HUN),2016.1.17
5.02,55,105,Kovács Vivien,91,Reménység Vác,F,Budapest (HUN),2016.1.3
5.02,55,105,Tóth Boglárka,2,ZALASZÁM-ZAC,F,Zalaegerszeg (HUN),2016.2.13
5.02,55,105,Németh Nikolett,98,BEAC,CE,Budapest (HUN),2016.2.13
5.01,59,109,Salamon Sára,92,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
5.0,60,110,Széki Dóra,1,NYSC,F,Nyíregyháza (HUN),2016.1.17
5.0,-,110,Otterbein Laura,0,PVSK,F,Bonyhád (HUN),2016.1.27
5.0,60,110,Gazdag Florina,98,BHSE,F,Budapest (HUN),2016.1.3
5.0,60,110,Milus Petra,99,Szolnoki SC-SI,F,Budapest (HUN),2016.1.3
5.0,60,110,Takács Zsófia,3,Vasas,F,Budapest (HUN),2016.2.07
5.0,-,110,Csincsi Barbara,0,ARAK,F,Budapest (HUN),2016.2.28
4.99,-,116,Tóth Boglárka,2,ZALASZÁM-ZAC,F,Zalaegerszeg (HUN),2016.1.29
4.99,64,116,Urbán Zita,2,A-Plast Ikarus BSE,CE2,Budapest (HUN),2016.3.05
4.98,65,118,Simon Viktória,1,ARAK,F,Budapest (HUN),2016.1.3
4.98,65,118,Papadopulu Phaedra,1,FTC,CE1,Budapest (HUN),2016.3.05
4.97,-,120,Nagy Alexandra,99,Szolnoki SC-SI,F,Budapest (HUN),2016.1.3
4.97,-,120,Soltész Gréta,98,Ócsa SE,CE,Budapest (HUN),2016.2.07
4.95,-,122,Németh Nikolett,98,BEAC,F,Székesfehérvár (HUN),2016.1.23
4.95,67,122,Kriszt Katalin,99,MATE - GEAC,CE,Budapest (HUN),2016.2.13
4.93,-,124,Simon Viktória,1,ARAK,F,Székesfehérvár (HUN),2016.1.23
4.93,-,124,Széki Petra,99,NYSC,F,Budapest (HUN),2016.2.28
4.92,-,126,Balogh Csenge,1,NYSC,F,Nyíregyháza (HUN),2016.1.23
4.92,68,126,Keresztes Réka,98,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
4.92,68,126,Tóth-Keppler Zsófia,2,Dunakeszi VSE,CE1,Budapest (HUN),2016.3.05
4.91,-,129,Kovács Vivien,91,Reménység Vác,CE,Budapest (HUN),2016.2.13
4.9,-,130,Kovács Vivien,91,Reménység Vác,CE,Budapest (HUN),2016.2.07
4.9,70,130,Kovács Marianna,0,MMAC,CE,Budapest (HUN),2016.2.13
4.9,-,130,Kátai Kamilla,1,Vasas,CE1,Budapest (HUN),2016.3.05
4.89,71,133,Auman Viktória,2,Favorit AC,F,Bonyhád (HUN),2016.2.1
4.88,-,134,Kátai Kamilla,1,Vasas,F,Székesfehérvár (HUN),2016.1.23
4.88,72,134,Kovács Fabula Barbara,99,NYSC,F,Nyíregyháza (HUN),2016.1.23
4.88,-,134,Gődény Pálma,0,FTC,F,Budapest (HUN),2016.1.24
4.87,73,137,Csáki Eszter,3,Miskolci Sportiskola,F,Budapest (HUN),2016.2.07
4.87,-,137,Simon Viktória,1,ARAK,F2,Budapest (HUN),2016.2.07
4.87,-,137,Fekete Fanni,0,Reménység Vác,CE,Budapest (HUN),2016.2.13
4.87,73,137,Borhy Anna,2,PSN - Pécsi Sportiskola,CE1,Budapest (HUN),2016.3.05
4.87,73,137,Hóbor Leticia,2,Csepeli DAC,CE2,Budapest (HUN),2016.3.05
4.86,-,142,Rácz Vivien,2,DSC-SI,CE1,Budapest (HUN),2016.3.05
4.85,-,143,Széki Petra,99,NYSC,F,Nyíregyháza (HUN),2016.1.23
4.85,76,143,Jégh Eszter,2,KARC,F1,Budapest (HUN),2016.2.07
4.85,-,143,Gődény Pálma,0,FTC,CE,Budapest (HUN),2016.2.13
4.84,-,146,Nagy Boglárka,0,NYSC,F,Nyíregyháza (HUN),2016.1.23
4.83,77,147,Gimesi Kata,3,ARAK,F,Székesfehérvár (HUN),2016.1.23
4.83,-,147,Széki Petra,99,NYSC,F,Budapest (HUN),2016.2.06
4.83,-,147,Kovács Fabula Barbara,99,NYSC,F,Budapest (HUN),2016.2.28
4.82,-,150,Lór Anna,99,KARC,F,Bonyhád (HUN),2016.1.27
4.82,-,150,Nagy Boglárka,0,NYSC,F,Budapest (HUN),2016.2.28
4.82,78,150,Marosi Viktória,1,MTK Budapest,CE1,Budapest (HUN),2016.3.05
4.81,79,153,Garamvölgyi Petra,3,PSN - Pécsi Sportiskola,F,Budapest (HUN),2016.2.07
4.81,79,153,Knipfer Ágnes,0,Szolnoki SC-SI,F,Budapest (HUN),2016.2.28
4.81,79,153,Csalai-Kégl Sarolta,3,Budaörsi DSE,CE1,Budapest (HUN),2016.3.05
4.8,-,156,Fekete Fanni,0,Reménység Vác,F,Dunakeszi (HUN),2016.1.17
4.8,82,156,Milus Réka,2,Szolnoki SC-SI,F1,Budapest (HUN),2016.2.07
4.8,-,156,Fekete Fanni,0,Reménység Vác,F,Budapest (HUN),2016.2.28
4.79,-,159,Széki Dóra,1,NYSC,F,Nyíregyháza (HUN),2016.1.23
4.79,83,159,Svercsók Barbara,1,Miskolci Sportiskola,F2,Budapest (HUN),2016.2.07
4.79,83,159,Kékesi Eszter,3,Egri Sportiskola SE,CE1,Budapest (HUN),2016.3.05
4.78,85,162,Tigyi Zsuzsanna,2,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
4.78,-,162,Kovács Fabula Barbara,99,NYSC,F,Nyíregyháza (HUN),2016.1.17
4.78,85,162,Bognár Anna,3,UTE,F,Budapest (HUN),2016.2.07
4.78,-,162,Széki Dóra,1,NYSC,F2,Budapest (HUN),2016.2.07
4.78,85,162,Lafferthon Viktória,97,AC Bonyhád,F,Budapest (HUN),2016.2.28
4.78,85,162,Nagy Vanessza,3,Szolnoki SC-SI,CE1,Budapest (HUN),2016.3.05
4.77,-,168,Bognár Anna,3,UTE,F,Dunakeszi (HUN),2016.1.17
4.77,-,168,Radócz Viktória,2,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
4.77,89,168,Dankó Anna,98,Dunakeszi VSE,F,Budapest (HUN),2016.2.06
4.76,90,171,Váczi Kamilla,0,MATE - GEAC,F,Budapest (HUN),2016.2.06
4.76,-,171,Szabó Laura,2,Keszthely VDSE,F2,Budapest (HUN),2016.2.07
4.76,90,171,Mohai Regina,3,ARAK,CE1,Budapest (HUN),2016.3.05
4.75,92,174,Havas Vanessza,1,KARC,F,Budapest (HUN),2016.1.3
4.75,92,174,Simon Zsófia,1,ARAK,CE1,Budapest (HUN),2016.3.05
4.74,-,176,Radócz Viktória,2,TSC-Geotech,F2,Budapest (HUN),2016.2.07
4.73,-,177,Papadopulu Phaedra,1,FTC,F,Székesfehérvár (HUN),2016.1.23
4.73,-,177,Balázs Klaudia,97,FTC,F,Budapest (HUN),2016.1.24
4.72,-,179,Havas Vanessza,1,KARC,F,Bonyhád (HUN),2016.1.27
4.71,-,180,Takács Zsófia,3,Vasas,F,Székesfehérvár (HUN),2016.1.23
4.71,-,180,Jégh Eszter,2,KARC,F,Bonyhád (HUN),2016.1.27
4.71,94,180,Markán Valentina,1,Favorit AC,F,Bonyhád (HUN),2016.2.1
4.71,-,180,Dankó Anna,98,Dunakeszi VSE,F,Budapest (HUN),2016.2.28
4.7,-,184,Nagy Boglárka,0,NYSC,F,Budapest (HUN),2016.2.06
4.7,-,184,Balázs Klaudia,97,FTC,F,Budapest (HUN),2016.2.14
4.69,-,186,Tóth Boglárka,2,ZALASZÁM-ZAC,F1,Budapest (HUN),2016.2.07
4.69,95,186,Szilágyi Petra,0,Békési DAC,CE,Budapest (HUN),2016.2.13
4.69,-,186,Garamvölgyi Petra,3,PSN - Pécsi Sportiskola,CE2,Budapest (HUN),2016.3.05
4.69,95,186,Rákos Bettina,2,MTK Budapest,CE2,Budapest (HUN),2016.3.05
4.68,97,190,Veres Panna,3,UTE,CE2,Budapest (HUN),2016.3.05
4.66,-,191,Bognár Anna,3,UTE,CE2,Budapest (HUN),2016.3.05
4.65,98,192,Papp Dorina,2,Miskolci Sportiskola,F1,Budapest (HUN),2016.2.07
4.65,98,192,Sándor Eszter,1,Szolnoki SC-SI,F1,Budapest (HUN),2016.2.07
4.65,98,192,Katona Kitti,99,AC Bonyhád,CE,Budapest (HUN),2016.2.13
4.65,98,192,Kátai Gréta,3,Vasas,CE1,Budapest (HUN),2016.3.05
4.65,98,192,Hegyi Boglárka,3,Jogging Plus,CE1,Budapest (HUN),2016.3.05
4.64,-,197,Szilágyi Petra,0,Békési DAC,F,Budapest (HUN),2016.1.3
4.64,103,197,Karkiss Léna,3,FTC,CE1,Budapest (HUN),2016.3.05
4.63,104,199,Katona Enikő,3,KSI SE,F,Budapest (HUN),2016.2.07
4.63,-,199,Dankó Anna,98,Dunakeszi VSE,F,Budapest (HUN),2016.2.14
4.63,104,199,Nemes Nóra,3,FTC,CE2,Budapest (HUN),2016.3.05
4.62,-,202,Lafferthon Viktória,97,AC Bonyhád,F,Bonyhád (HUN),2016.1.13
4.62,-,202,Veres Panna,3,UTE,F,Dunakeszi (HUN),2016.1.17
4.62,106,202,Barizs Boglárka,97,Ócsa SE,CE,Budapest (HUN),2016.2.07
4.61,107,205,Petrášová Juliána,1,,F,Nyíregyháza (HUN),2016.1.23
4.61,-,205,Kátai Gréta,3,Vasas,F,Székesfehérvár (HUN),2016.1.23
4.61,-,205,Havas Vanessza,1,KARC,F2,Budapest (HUN),2016.2.07
4.61,-,205,Milus Petra,99,Szolnoki SC-SI,F,Budapest (HUN),2016.2.28
4.61,-,205,Katona Enikő,3,KSI SE,CE1,Budapest (HUN),2016.3.05
4.6,-,210,Svercsók Barbara,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
4.6,108,210,Donka Réka,3,DSC-SI,F,Budapest (HUN),2016.2.07
4.6,-,210,Gimesi Kata,3,ARAK,CE1,Budapest (HUN),2016.3.05
4.6,108,210,Mazák Anna,1,ARAK,CE1,Budapest (HUN),2016.3.05
4.59,110,214,Vajda Virág,3,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.07
4.59,110,214,Barna Patrícia,3,KARC,CE1,Budapest (HUN),2016.3.05
4.58,112,216,Suvák Bori,3,PSN - Pécsi Sportiskola,CE2,Budapest (HUN),2016.3.05
4.58,112,216,Dancsó Dorottya,3,Szekszárdi Sportközpont,CE1,Budapest (HUN),2016.3.05
4.56,-,218,Tigyi Zsuzsanna,2,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.23
4.56,-,218,Mazák Anna,1,ARAK,F,Budapest (HUN),2016.1.3
4.56,114,218,Uzsoki Virág,98,Mezőtúri AC,F,Budapest (HUN),2016.2.06
4.56,114,218,Kovács Petra,2,MTK Budapest,CE2,Budapest (HUN),2016.3.05
4.55,-,222,Donka Réka,3,DSC-SI,F,Nyíregyháza (HUN),2016.1.17
4.55,-,222,Tigyi Zsuzsanna,2,Miskolci Sportiskola,F2,Budapest (HUN),2016.2.07
4.55,116,222,Szakács Evelin,2,TSC-Geotech,CE2,Budapest (HUN),2016.3.05
4.54,117,225,Kovács Dóra,98,Szolnoki SC-SI,F,Budapest (HUN),2016.1.3
4.54,117,225,Horváthné Nyeste Ágnes,97,Békési DAC,CE,Budapest (HUN),2016.2.13
4.54,117,225,Csontos Piroska,94,Jogging Plus,F,Budapest (HUN),2016.2.14
4.53,120,228,Beliczay Léna,2,FTC,F,Budapest (HUN),2016.1.24
4.53,-,228,Hóbor Leticia,2,Csepeli DAC,F1,Budapest (HUN),2016.2.07
4.52,121,230,Horváth Boglárka,1,Ócsa SE,F,Dunakeszi (HUN),2016.1.17
4.52,121,230,Pető Antónia,3,Mezőtúri AC,F,Budapest (HUN),2016.2.07
4.51,123,232,Manninger Borka,0,Reménység Vác,F,Dunakeszi (HUN),2016.1.17
4.51,123,232,Svegál Anasztázia,0,Mohácsi TE,F,Bonyhád (HUN),2016.1.27
4.5,125,234,Tóth Enikő,1,UTE,F,Budapest (HUN),2016.1.3
4.48,126,235,Leveleki Csenge,99,NYSC,F,Nyíregyháza (HUN),2016.1.17
4.48,126,235,Goschi Anna,2,FTC,F,Budapest (HUN),2016.1.24
4.48,126,235,Harkai Orsolya,3,KARC,F,Bonyhád (HUN),2016.1.27
4.48,-,235,Horváth Boglárka,1,Ócsa SE,F1,Budapest (HUN),2016.2.07
4.48,126,235,Rajna Fanni,1,TSC-Geotech,F1,Budapest (HUN),2016.2.07
4.48,126,235,Virág Lili,2,Egri Sportiskola SE,CE2,Budapest (HUN),2016.3.05
4.46,131,241,Wéber Csenge,3,Csepeli DAC,CE2,Budapest (HUN),2016.3.05
4.46,131,241,Vadkerti Lili,2,Egri Sportiskola SE,CE2,Budapest (HUN),2016.3.05
4.46,131,241,Kulcsár Boglárka,2,KSI SE,CE2,Budapest (HUN),2016.3.05
4.45,134,244,Molnár Annamária,98,FTC,F,Budapest (HUN),2016.1.24
4.44,135,245,Kruzslicz Amira,3,HÓDIÁK SE,F,Bonyhád (HUN),2016.1.27
4.44,-,245,Mazák Anna,1,ARAK,F,Bonyhád (HUN),2016.1.27
4.44,135,245,Horváth Vivien,3,KSI SE,F,Budapest (HUN),2016.2.07
4.44,-,245,Harkai Orsolya,3,KARC,F,Budapest (HUN),2016.2.07
4.44,135,245,Budavári Júlia,2,Dunakeszi VSE,CE1,Budapest (HUN),2016.3.05
4.44,135,245,Kiss Viktória,1,FTC,CE2,Budapest (HUN),2016.3.05
4.43,-,251,Hóbor Leticia,2,Csepeli DAC,F,Dunakeszi (HUN),2016.1.17
4.43,139,251,Schweigert Nikoletta,98,FTC,F,Budapest (HUN),2016.1.24
4.41,-,253,Gimesi Kata,3,ARAK,F,Bonyhád (HUN),2016.1.27
4.4,140,254,Kareczki Petra,3,Reménység Vác,F,Budapest (HUN),2016.2.07
4.4,-,254,Karkiss Léna,3,FTC,F,Budapest (HUN),2016.2.07
6.38,1,1,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Beograd (SRB),2017.3.03
6.23,2,2,Schmelcz Vivien,92,TFSE,F,Budapest (HUN),2017.2.04
6.2,-,3,Schmelcz Vivien,92,TFSE,F,Budapest (HUN),2017.2.18
6.19,3,4,Lesti Diana,98,KARC,F,Budapest (HUN),2017.2.12
6.17,4,5,Krizsán Xénia,93,MTK Budapest,CE,Budapest (HUN),2017.2.11
6.13,5,6,Czuth Réka,94,AC Bonyhád,F,"Geneva, OH (USA)",2017.2.24
6.1,-,7,Zsivoczky-Farkas Györgyi,85,BHSE,F,Budapest (HUN),2017.2.18
6.09,-,8,Schmelcz Vivien,92,TFSE,F,Budapest (HUN),2017.2.12
6.09,-,8,Krizsán Xénia,93,MTK Budapest,CE,Beograd (SRB),2017.3.03
6.08,-,10,Lesti Diana,98,KARC,F,Budapest (HUN),2017.2.26
6.05,-,11,Lesti Diana,98,KARC,F,Budapest (HUN),2017.2.18
6.05,-,11,Schmelcz Vivien,92,TFSE,Q,Beograd (SRB),2017.3.04
6.04,-,13,Zsivoczky-Farkas Györgyi,85,BHSE,CE,Budapest (HUN),2017.2.05
5.99,6,14,Bacsa Fanni,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2017.1.22
5.99,-,14,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2017.2.17
5.96,-,16,Krizsán Xénia,93,MTK Budapest,F,Budapest (HUN),2017.2.18
5.95,7,17,Hódi Nóra,87,HÓDIÁK SE,F,Budapest (HUN),2017.2.04
5.95,7,17,Szabó Beatrix,95,MTK Budapest,CE,Budapest (HUN),2017.2.11
5.94,-,19,Lesti Diana,98,KARC,F,Budapest (HUN),2017.2.04
5.88,-,20,Bacsa Fanni,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2017.1.15
5.87,9,21,Szűcs Szabina,2,KARC,F,Budapest (HUN),2017.2.18
5.86,10,22,Renner Luca,98,MATE - GEAC,F,Budapest (HUN),2017.2.26
5.85,-,23,Szabó Beatrix,95,MTK Budapest,F,Budapest (HUN),2017.2.18
5.84,11,24,Endrész Klaudia,1,ARAK,F,Budapest (HUN),2017.2.26
5.81,12,25,Bajnok Eszter,97,Favorit AC,F,Blacksburg (USA),2017.1.21
5.81,-,25,Endrész Klaudia,1,ARAK,F,Budapest (HUN),2017.2.04
5.77,-,27,Czuth Réka,94,AC Bonyhád,F,Lincoln (USA),2017.12.09
5.76,-,28,Szabó Beatrix,95,MTK Budapest,CE,Budapest (HUN),2017.2.05
5.75,-,29,Endrész Klaudia,1,ARAK,F,Székesfehérvár (HUN),2017.1.22
5.75,-,29,Bajnok Eszter,97,Favorit AC,F,Blacksburg (USA),2017.2.03
5.74,-,31,Szűcs Szabina,2,KARC,F2,Budapest (HUN),2017.2.05
5.74,-,31,Bacsa Fanni,1,Miskolci Sportiskola,F,Budapest (HUN),2017.2.18
5.73,-,33,Bacsa Fanni,1,Miskolci Sportiskola,F,Budapest (HUN),2017.2.26
5.71,-,34,Szűcs Szabina,2,KARC,F,Dortmund (GER),2017.3.12
5.68,-,35,Endrész Klaudia,1,ARAK,F,Bonyhád (HUN),2017.2.08
5.65,13,36,Mátó Sára,0,ARAK,CE,Budapest (HUN),2017.2.11
5.65,-,36,Szűcs Szabina,2,KARC,F,Dortmund (GER),2017.3.11
5.58,14,38,Szabó Krisztina,95,Győri Atlétikai Club,F,"Birmingham, AL (USA)",2017.2.2
5.54,-,39,Hódi Nóra,87,HÓDIÁK SE,F,Budapest (HUN),2017.2.12
5.54,15,39,Otterbein Laura,0,PSN - Pécsi Sportiskola,F,Budapest (HUN),2017.2.26
5.53,16,41,Kónya Enikő,2,UTE,F,Budapest (HUN),2017.2.12
5.52,-,42,Mátó Sára,0,ARAK,F,Székesfehérvár (HUN),2017.1.22
5.52,-,42,Szűcs Szabina,2,KARC,CE2,Budapest (HUN),2017.3.05
5.51,-,44,Szabó Krisztina,95,Győri Atlétikai Club,F,"Birmingham, AL (USA)",2017.1.13
5.51,17,44,Bogár Lilla,91,TFSE,F,Budapest (HUN),2017.2.18
5.5,18,46,Nyisztor Petra,96,DSC-SI,F,Nyíregyháza (HUN),2017.1.15
